FID,Id,ORIG_FID,Id_1,POINT_X,POINT_Y,X_UTM,Y_UTM
13375,0,0,0,746007.496481999990000,520974.539493000020000,560756.949115999970000,4563200.412370000000000
13376,0,0,0,746007.865941999950000,520969.553162000030000,560757.546697000040000,4563195.445109999700000
13377,0,0,0,746008.235402000020000,520964.566830999970000,560758.144276999980000,4563190.477839999800000
13378,0,0,0,746008.604861999980000,520959.580498999970000,560758.741858000050000,4563185.510569999900000
13379,0,0,0,746008.974322000050000,520954.594167999980000,560759.339438000000000,4563180.543300000000000
13380,0,0,0,746009.343782000010000,520949.607836999990000,560759.937018999950000,4563175.576030000100000
13381,0,0,0,746009.713241999970000,520944.621506000000000,560760.534599000010000,4563170.608760000200000
13382,0,0,0,746010.082702000040000,520939.635174000000000,560761.132178999950000,4563165.641499999900000
13383,0,0,0,746010.452162000000000,520934.648843000000000,560761.729759000010000,4563160.674230000000000
13384,0,0,0,746010.821621999960000,520929.662512000010000,560762.327338999950000,4563155.706960000100000
13385,0,0,0,746011.191082000030000,520924.676181000020000,560762.924919000010000,4563150.739690000200000
13386,0,0,0,746011.560541999990000,520919.689849000020000,560763.522498999960000,4563145.772420000300000
13387,0,0,0,746011.930001999950000,520914.703518000020000,560764.120078000010000,4563140.805139999800000
13388,0,0,0,746012.299462000020000,520909.717186999970000,560764.717657999950000,4563135.837869999900000
13389,0,0,0,746012.668921999980000,520904.730855999980000,560765.315238000010000,4563130.870600000000000
13390,0,0,0,746013.038382000060000,520899.744523999980000,560765.912816999950000,4563125.903330000100000
13391,0,0,0,746013.407842000020000,520894.758192999990000,560766.510396000000000,4563120.936060000200000
13392,0,0,0,746013.777301999970000,520889.771861999990000,560767.107976000060000,4563115.968790000300000
13393,0,0,0,746014.146762000050000,520884.785531000000000,560767.705554999990000,4563111.001520000400000
13394,0,0,0,746014.516222000010000,520879.799199000000000,560768.303134000050000,4563106.034239999900000
13395,0,0,0,746014.885681999960000,520874.812868000010000,560768.900712999980000,4563101.066970000000000
13396,0,0,0,746015.255142000040000,520869.826537000020000,560769.498292000030000,4563096.099700000100000
13397,0,0,0,746015.624602000000000,520864.840206000020000,560770.095869999960000,4563091.132419999700000
